Feature ID	Taxon
JN180197.1.1479	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__Streptomyces_griseoruber
KY649405.1.1432	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__Streptomyces_chartreusis
L11265.1.1815	d__Eukaryota; p__Mollusca; c__Bivalvia; o__Pectinoida; f__Pectinoida; g__Pectinoida; s__Argopecten_irradians
AF550621.1.1417	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__Campylobacter_coli
HG738868.4994650.4996180	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__Serratia_marcescens
JQ798591.1.1716	d__Eukaryota; p__Gastrotricha; c__Gastrotricha; o__Chaetonotida; f__Chaetonotida; g__Chaetonotida; s__Aspidiophorus_tentaculatus
KJ577850.1.1772	d__Eukaryota; p__Diatomea; c__Coscinodiscophytina; o__Fragilariales; f__Fragilariales; g__Staurosira; s__Fragilariophyceae_sp.
JQ798569.1.1718	d__Eukaryota; p__Gastrotricha; c__Gastrotricha; o__Chaetonotida; f__Chaetonotida; g__Chaetonotida; s__Chaetonotus_acanthocephalus
AF530130.1.1397	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacteriaceae; s__cf._Cytophaga
HL281864.1.1405	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__unidentified
HG530135.2805762.2807210	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_15; s__Clostridium_tetani
JN566174.1.1280	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__Streptomyces_sp.
LC010116.1.1999	d__Eukaryota; p__Cnidaria; c__Myxozoa; o__Bivalvulida; f__Bivalvulida; g__Bivalvulida; s__Myxobolus_toyamai
JN426806.1.1419	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Paeniclostridium; s__Paeniclostridium_ghonii
